"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"AC092143.1-201",0,0,0,0,0,0
"AC092442.1-201",0,0,0,0,0,0
"AC092587.1-201",0,0,0,1,0,0
"AC092647.5-201",0,0,0,0,0,0
"AC092718.3-202",2,1,0,1,2,0
"AC092718.8-201",1,0,1,0,0,0
"AC092835.1-201",11,12,6,8,18,9
"AC093155.3-201",0,0,0,0,0,1
"AC093227.2-202",0,0,0,0,0,0
"AC093323.1-203",10,11,9,9,14,14
"AC093423.3-201",0,0,0,0,0,0
"AC093512.2-209",0,0,0,0,0,2
"AC093525.2-201",0,0,0,1,0,0
"AC093668.2-201",0,0,0,0,0,0
"AC093668.3-201",0,0,0,0,0,0
"AC093827.5-201",0,0,0,0,0,0
"AC093899.2-201",0,0,0,0,0,0
"AC096582.3-201",0,0,0,0,0,0
"AC096887.1-202",0,0,0,0,0,0
"AC097104.1-201",0,0,0,0,0,0
"AC097625.1-201",0,0,0,0,0,0
"AC097634.4-201",0,0,0,0,0,0
"AC097636.1-202",0,0,0,0,0,0
"AC097637.1-201",0,0,0,0,0,0
"AC098484.3-203",0,0,0,0,0,1
"AC098588.1-201",0,0,0,0,0,0
"AC098650.1-201",0,0,0,0,0,0
"AC098850.3-201",0,0,0,0,1,0
"AC099489.1-203",2,12,8,7,6,4
"AC099850.2-201",0,0,0,0,0,0
"AC100868.1-201",3,1,0,2,1,4
"AC104151.1-201",0,0,0,0,0,0
"AC104304.1-201",0,0,0,0,0,0
"AC104389.4-201",0,0,0,0,0,0
"AC104389.5-201",0,0,0,0,0,0
"AC104452.1-203",0,0,0,0,0,0
"AC104472.3-201",1,3,0,1,1,2
"AC104532.1-201",0,0,0,0,0,0
"AC104581.2-201",0,0,0,0,0,0
"AC104662.2-201",0,0,0,0,0,0
"AC105052.1-201",0,0,0,0,0,0
"AC105052.3-201",0,0,0,0,0,0
"AC106774.4-201",0,0,0,0,0,0
"AC106886.5-201",2,1,1,0,2,4
"AC107871.1-202",0,0,0,0,1,0
"AC108488.2-201",0,0,0,0,0,0
"AC108941.2-201",0,0,0,0,0,0
"AC109583.3-201",0,0,0,0,0,0
"AC110275.1-201",0,0,0,0,0,0
"AC112128.1-201",0,0,0,0,0,0
"AC112229.3-201",0,0,0,0,0,0
"AC112504.2-201",0,0,0,0,0,0
"AC113348.1-201",0,0,0,0,0,0
"AC113348.2-201",0,0,0,0,0,0
"AC113554.1-201",0,0,0,0,0,0
"AC114490.2-201",0,0,0,0,0,0
"AC114490.3-201",0,0,0,0,0,0
"AC115220.1-201",0,0,0,0,0,0
"AC116366.3-205",0,0,0,0,0,0
"AC117457.1-201",0,0,0,0,0,0
"AC118470.1-201",0,0,0,0,0,0
"AC118549.1-202",145,193,111,190,225,175
"AC118553.2-203",0,0,0,0,0,0
"AC119396.1-201",1,0,0,0,0,0
"AC119674.2-203",0,0,0,0,0,0
"AC119676.1-201",0,0,0,0,0,0
"AC120057.2-201",0,0,0,0,0,0
"AC120114.4-201",0,0,0,0,0,0
"AC124312.1-201",0,0,0,0,0,0
"AC126283.2-201",0,0,0,0,0,0
"AC126755.2-202",0,0,0,0,0,0
"AC127029.3-201",0,0,0,0,0,0
"AC131097.2-201",0,0,0,0,0,0
"AC131160.1-201",0,0,0,0,0,0
"AC134669.1-201",0,0,0,0,0,0
"AC134684.11-201",0,0,0,0,0,0
"AC134684.8-201",0,0,0,0,0,0
"AC134684.9-201",0,0,0,0,0,0
"AC134980.3-201",0,0,0,0,0,0
"AC135050.2-201",0,0,0,0,0,0
"AC135068.1-201",0,0,0,0,0,0
"AC135068.3-201",0,0,0,0,0,0
"AC135178.2-201",0,0,0,0,0,1
"AC137834.1-201",0,0,0,0,0,0
"AC138647.1-202",1,1,0,1,0,1
"AC138696.1-201",0,0,0,0,0,0
"AC139491.7-201",0,0,0,0,0,0
"AC139530.2-201",0,0,0,0,0,0
"AC140504.1-202",0,0,0,0,0,0
"AC142391.1-201",0,0,0,0,0,0
"AC144573.1-201",0,0,0,0,0,0
"AC187653.1-201",1,0,0,0,0,0
"AC233723.1-201",0,0,0,0,0,0
"AC233992.2-201",0,0,0,0,0,0
"AC235565.2-202",0,0,0,0,0,0
"AC239799.1-201",0,0,1,0,1,2
"AC243756.1-201",0,0,0,0,0,0
"AC244197.3-201",0,0,0,0,0,0
"AC244517.10-201",0,0,0,0,0,0
"AC245033.1-201",2,1,0,0,0,0
"AC253536.7-201",0,0,0,0,0,0
"ACAA1-202",45,48,36,53,78,41
"ACAA2-201",42,46,31,63,85,67
"ACACA-231",297,289,204,302,383,326
"ACACB-201",36,48,26,23,52,39
"ACAD10-201",25,12,12,13,31,20
"ACAD11-201",51,48,34,78,101,91
"ACAD8-201",10,18,14,16,19,8
"ACAD9-201",72,105,70,88,125,97
"ACADL-201",8,5,4,3,14,10
"ACADM-202",85,86,60,128,161,116
"ACADS-201",7,5,4,11,9,7
"ACADSB-201",29,21,17,24,40,37
"ACADVL-203",25,31,21,44,59,39
"ACAN-207",2,2,0,1,1,3
"ACAP1-201",1,0,0,0,0,0
